"Id","Text","Time","Retweet_count"
48,"rt @gidi_traffic: ""@cleenfoundation: #nigeriadecides monitor police conduct during election through any of these lines @gidi_traffic http:/…","2015-04-10 16:52:37",8
49,"rt @premiumtimesng: #nigeriadecides: at 10am, there is still no sign of @inecnigeria officials at the polling units in agege area http://t.…","2015-03-28 09:19:33",20
50,"rt @babatundecash: ""i encourage nigerians to be patient, even if card readers have issues. don’t instigate violence, ” - jonathan #nigeriad…","2015-03-28 09:33:43",31
51,"rt @saharareporters: how council of state rejected pres. jonathan’s proposal to postpone gen. #elections  @jgoodlucktweets #nigeriadecides …","2015-02-05 22:57:37",18
52,"rt @muhammadsageer: nigeria's election was postponed the day col. dasuki sambo travelled all the way to chatam house london.#nigeriadecides…","2015-02-14 12:18:38",15
53,"rt @kellyegwuatu: they have blocked the highway in calabar, imoke is with@inecnigeria now to doctor results @delemomodu @apcnigeria @inecal…","2015-03-29 20:08:56",16
54,"rt @tweetoracle: @inecnigeria has turned nigerians into mathematicians. #nigeriadecides""","2015-03-31 15:33:25",8
55,"rt @ashrafgarda: post election #nigeria wants more roads while post apartheid south africa wants no more #rhodes","2015-04-03 10:24:16",11
56,"rt @naija_pr: kindly note all infos on result are as they appear on #nigeriadecides tweet data ....  @inecnigeria has the final say ... tha…","2015-03-28 23:02:48",8
57,"rt @gidi_gossip: free &amp; fair elections ever! thank u gej. you have laid down a good foundation for our political institution. #changehascom…","2015-03-31 17:14:57",7
58,"journalist @toluogunlesi on the challenges facing #nigeria http://t.co/n41aotzr8m #nigeriaelection #nigeriadecides http://t.co/ddojsvgl33","2015-02-12 17:52:02",5
59,"please vote change @thisisbuhari as we #march4buhari on march 28. design by @famuyideolawale http://t.co/y3boam9fbt","2015-03-16 09:54:59",5
60,"there is a continuous need for electoral reforms in nigeria - prof. ibeanu #nigeriadecides #nigeria2015 cc @inecnigeria","2015-04-10 17:39:30",5
61,"rt @duduskee: going into the break, apc 5 - 4 pdp. see you on the side. #nigeriadecides @bolyjay3 @omojuwa @apcnigeria @delemomodu @omawrit…","2015-03-30 15:30:54",17
62,"result of presidential election after 19 states:
apc- 8,520,436
pdp- 6,488,210
#nigeriadecides","2015-03-30 22:27:51",89
63,"rt @apcforchange: mrs osinbajo drove @profosinbajo &amp; herself to pu240804033, eti-osa. as at 9:22 @inecnigeria not here. #nigeriadecides htt…","2015-03-28 08:25:44",224
64,"rt @muimuiatunnise: inspite of our insecurity, pple waited &amp; voted way past midnight. those are my heroes. we need just a little self-sacri…","2015-03-29 05:43:42",10
65,"rt @nigeriacamera: governorship election result at jimi agbaje's polling unit: 
apc - 124
pdp - 88  
it is finished!

 #lagosdecides #niger…","2015-04-11 17:33:43",12
66,"rt @atunwa_1: apparently,pdp is unready for election cuz d party's failure at d polls is evident.this explains why they rejected card reade…","2015-03-17 19:53:35",9
67,"#nigeriadecides: inec announces results for akwa ibom, imo and plateau states http://t.co/r2bpc6podf @thenetng","2015-03-30 22:15:35",6
68,"rt @abksadiq: so plot to remove #jega thickens. when are we going to change? what they planning is way too obvious. @delemomodu #nigeriadec…","2015-03-01 05:15:59",9
69,"rt @budzeg: like abraham lincoln, gmb has contested many times before, but today, is about to be crowned.
#saibuhari #nigeriadecides 
cc @a…","2015-03-31 06:42:09",5
70,"rt @sampiranty: many #bokoharam militants are now fleeing towards mandara mountains away from military focus on sambisa #nigeria via gwoza …","2015-04-28 22:22:35",42
71,"#nigeria we rehabilitated 36 latrines in the ""national youth service corps"" camp for displaced ppl #maiduguri #borno http://t.co/jatq3kohwz","2015-04-21 15:05:04",6
72,"sun sets on the day after elections and at least 500 people yet to vote in gishiri in abuja #nigeriadecides http://t.co/ke7bahocma","2015-03-29 17:06:05",8
73,"rt @cnnmex: la amenaza de boko haram se extiende a las naciones vecinas de #nigeria http://t.co/4ubqlrcmgi","2015-02-14 02:05:41",5
74,"rt @archittiwari: the usually impeccable @alkayy has this to say : inec staff confirms to me that proposed dates l possibly be march 28 and…","2015-02-07 12:10:43",10
75,"#nigeria launches air strikes on #bokoharam camps; kills large number of terrorists, military says http://t.co/gzxp2f8hym","2015-02-20 00:40:52",7
76,"rt @tvcnigeria: the level of violence has been unprecedented in rivers, it is very unfortunate - #nigeriadecides","2015-03-29 20:11:59",6
77,"i've just been drenched by pure water at  @apcnigeria (instead of champagne.)  😂#nigeriadecides","2015-03-31 17:52:00",7
78,"rt @sapiosanct: he could have ended boko haram by july 2011, he allowed them to terrorise us while blaming the opposition. we are wiser now…","2015-03-28 07:36:16",13
79,"excitement on her face tells it all. pls @thisisbuhari gmb dnt disappoint us http://t.co/8gkgubd85y #nigeriadecides http://t.co/nzcsaaqcpk","2015-04-01 00:17:30",5
80,"rt @cbrangel: congratulations to the nigerian people for a successful free and fair election. great day for #democracy in #nigeria!","2015-04-01 19:45:52",6
81,"rt @omonlakiki: #nigeriadecides: reports indicate results from karu had not come in before nasarawa rec announced results of the state @ine…","2015-03-30 17:55:35",13
82,"rt @blossomnnodim: question: are you disenfranchising voters?

jega's answer: if a voter refuses to collect the pvc, how is it inec's fault…","2015-02-07 22:43:48",7
83,"sign the petition: it’s time to end boko haram and put #nigeria back on track to end extreme poverty: http://t.co/8vib2xwysu #nigeriadecides","2015-04-01 12:18:32",126
84,"pdp planning to break into inec warehouse to steal card readers, apc alleges - it has been alleged... http://t.co/gqykyz6kwb #news, #nigeria","2015-03-24 16:08:50",5
85,"rt @channelstv: #nigeria2015 #headlines pockets of violence reported in rivers, delta and akwa ibom","2015-04-12 09:23:21",16
86,"nigeria is having a democratic election today. how quaint. #nigeriadecides","2015-03-28 08:39:11",8
87,"rt @metropolemag: ""for the election that we rescheduled to april 11, it will be done with governorship elections""-jega #nigeriadecides @ine…","2015-03-28 20:48:47",5
88,"closure of nigeria borders against saturday election: http://t.co/wjupxix3y5 #nigeria #election","2015-03-25 15:34:11",5
89,"rt @talarkala: men dance near a makeshift figure of #nigeria's ex-military ruler &amp; candidate buhari in kaduna @nicholesobecki #afp http://t…","2015-03-29 19:04:13",17
90,"rt @inecnigeria: there are dozens of pvcs waiting to be collected at registration centres. please go out and collect yours now! #nigeriadec…","2015-02-05 10:50:52",218
91,"rt @daviesokeowo: long day it was, but greater was the joy. in the rain we stood and made our choice. peaceful elections all through agege.…","2015-03-28 18:19:50",6
92,"rt @voanews: #nigeriadecides: voa on the ground in #nigeria as pres. jonathan concedes to gen. buhari - http://t.co/y3bi8ezrz9 http://t.co/…","2015-03-31 18:51:10",11
93,"rt @ewnreporter: former military ruler muhammadu #buhari claims victory in #nigeria's presidential election- he last came to power 32 yrs a…","2015-03-31 15:11:43",11
94,"embarrassing moments as inec’s card reader verification failed for oshiomhole #nigeriadecides #tip... http://t.co/fhi4eq8d1n","2015-04-11 18:10:56",15
95,"the other story of nigerian election? boko haram was defeated; it failed to sink vote : http://t.co/jcrvy96a9s #nigeriadecides","2015-03-31 14:58:40",5
96,"rt @naijcom: amosun is the winner in ogun. lagos results coming &gt;&gt;&gt; http://t.co/totknoxnfy #nigeriadecides #nigeria2015 http://t.co/7die3yf…","2015-04-12 11:39:02",5
97,"rt @dawisu: lagos is next. though the votes are not that high. we thank you a lot for packaging @thisisbuhari #nigeriadecides","2015-03-31 11:09:48",10
98,"rt @situationroomng: heavy military presence reported in kaduna at the moment as they take over strategic locations cc @channelstv_ng @bbca…","2015-03-29 18:38:53",45
99,"rt @idahosalaurie: whoever wins, don't take it to the streets in triumph or violence. take it to god in thanksgiving or intercession! #besa…","2015-03-31 13:56:33",16
100,"president jonathan set to sweep south south as inec announce election results in akwa ibom &gt;&gt; http://t.co/snfeacu6wa #nigeriadecides","2015-03-30 15:17:55",11
101,"rt @crisisgroup: goodluck jonathan wins time to outflank oppstn with #nigeria election delay, but perils loom http://t.co/yuben7htn6 http:/…","2015-02-12 18:34:31",33
102,"rt @pol_sec_analyst: why are so many news headlines about #nigeria's postponed elections reading like obituaries? the country has endured m…","2015-02-11 16:35:36",7
103,"@nijaeye [presidential election] pdp in early but slim lead as inec ano  http://t.co/uoylra7hiw #votewisely,#nigeriadecides,#onenigeria","2015-03-31 09:29:24",17
104,"rt @truenija: ""@thisisbuhari: 15/ this government is your government and every decision we shall take shall be to give you a positive futur…","2015-04-02 09:54:52",5
105,"rt @policeng: the essence of our visit is to thank igp &amp;entire @policeng on role played in just concluded 28.03.15 #nigeriadecides
#npfelec…","2015-04-01 14:56:24",16
106,"rt @gimbakakanda: their next strategy is provoke us to the point of violence, just to use force and declare nigeria unsafe for politicking.…","2015-03-29 20:24:49",9
107,"#nigeria military says bama city recaptured from #bokoharam http://t.co/atutppfkax via @reuters #bringbackourgirls #isis","2015-03-16 21:13:52",5
108,"rt @mrayedee: i wonder if apc is aware how many of their own elected officials nationwide have pledged to work for gej's re-election. #nige…","2015-03-16 10:09:30",16
109,"oyo governorship election results from 27 of the 33 lga's ii #nigeriadecides http://t.co/hfoqro7s0l","2015-04-12 13:07:49",12
110,"rt @usembassyabuja: i commend president jonathan &amp; president-elect buhari for their public commitments to non-violence - president obama #n…","2015-04-01 15:06:03",24
111,"rt @nestornongo: boko haram vuelve a secuestrar a cientos de personas en el norte de nigeria http://t.co/tpnvtu3np8 #bokoharam #nigeria","2015-03-24 23:00:04",9
112,"#breakingnews exposed: uk think-tank links apc with boko haram, warns us to steer clear of apc… http://t.co/7jrow4bmk3 #thetrent #nigeria","2015-02-26 18:29:41",9
113,"rt @anthoniaorji: it's been a year since more than 200 chibok school girls were kidnapped by boko haram. #bringbackourgirls #nigeria http:/…","2015-04-14 08:27:54",41
114,"rt @situationroomng: #jonathan bars #pdp from challenging @thisisbuhari ’s #victory at #tribunal #nigeria2015 #nigeriadecides http://t.co/m…","2015-04-03 08:45:31",8
115,"rt @christopherkay: #nigeria stocks claw back all 2015’s losses after elections - http://t.co/pyooyazd3q #buharibounce http://t.co/1evxxv8u…","2015-04-02 15:27:00",10
116,"rt @imlagos: “@inecnigeria: #breaking pvc distribution has been extended to march 22nd, 2015.
#nigeriadecides” lagos more time for pvc coll…","2015-03-08 19:26:28",6
117,"gov. state of osun, ogbeni @raufaregbesola was accredited by @naijacorpers inec adhoc staff #nigeriadecides http://t.co/nahmdeckxq""","2015-03-28 13:32:15",7
118,"#nigeriadecides: 10 nigerian artist that did not vote in the election - http://t.co/t7immdjssl  http://t.co/2bfq2xcn68","2015-03-29 16:27:41",5
119,"#nigeriadecides: inec releases results of 10 lgas in ogun, apc leads: by anike jacobs presidential election re... http://t.co/bsn9f7f6xs","2015-03-29 20:12:10",7
120,"#er_updates inec to begin full collation of results by 12pm tomorrow #nigeria2015 http://t.co/4bszmgzm3c via @ent_redefined","2015-03-29 20:46:35",9
121,"rt @debora_patta: #nigeriadecides in an historic election where @thisisbuhari has officially been declared the winner by the electoral comm…","2015-04-01 03:17:40",7
122,"rt @saharareporters: #nigeriadecides : some lagos voters today awaiting inec officials, getting accredited and the empty streets","2015-03-28 09:32:41",13
123,"the general's daughters, halima &amp; safina, speak about the kind of dad @thisisbuhari &amp; thank #nigeria|ns for support http://t.co/cwh5u989cx","2015-02-14 20:14:34",28
124,"rt @aligthebaptist: the govt can only postpone d election but they can't postpone change. corruption&amp;ineptitude must go #nigeria #gmb15 htt…","2015-02-07 18:37:44",51
125,"rt @el_telegrafo: #nigeria anunció el rescate de 200 niñas y 93 mujeres retenidas en un bastión de boko haram. http://t.co/axob8lwbo7","2015-04-28 22:16:25",5
126,"rt @aishaak49: hahaha this ro""i don't read hand written things, i read typed things, i read with a reading lamp"" #inec #nigeriadecides #nig…","2015-03-31 11:55:51",8
127,"#babanowthatyouarethere we don't want our army to be ""6 weeks army"" #nigeria http://t.co/zyzxml97sc","2015-03-30 11:57:43",21
128,"rt @chetomanji: whatever u may think of pgej, that jega/inec are seen as instrumental to  #nigeriadecides is, in part, to the president's c…","2015-03-30 12:57:53",22
129,"“there [are] a lot of lessons for us to study from the nigerian elections.”-hon. seth acheampong #nigeriadecides http://t.co/539rapc8tv","2015-03-31 20:00:45",25
130,"rt @itele: #nigeria &gt; le président goodluck jonathan est en visite à baga, qui avait été victime en janvier d'un massacre de #bokoharam","2015-02-26 17:50:51",8
131,"look, these are not number of goats, they're lives lost to boko haram due to failures of this govt. #nigeriadecides http://t.co/odmxoppijf","2015-03-28 06:28:35",7
132,"rt @causticbob: #nigeriadecides breaking news! goodluck jonathan has just voided the election and declared martial law! #prayfornigeria","2015-04-01 12:51:56",11
133,"rt @situationroomng: voting just started at ishola pu 031, ojodu as the po returns with the card reader @inecnigeria #nigeriadecides","2015-03-28 15:42:47",5
134,"#nigeriadecides: fayose hails buhari and jonathan, says election was a victory for democracy http://t.co/ulvmrduwtd","2015-03-31 16:09:45",18
135,"rt @bbcworld: #nigeria's military says it has retaken town of bama from islamist militants #bokoharam http://t.co/dcugczimqa http://t.co/4l…","2015-03-17 01:55:47",126
136,"see the incredible rescue of 100s of schoolgirls from boko haram @millerc4 #chibok #nigeria http://t.co/4d58vbvtve http://t.co/62gwp72d9n","2015-02-11 18:09:56",26
137,"rt @situationroomng: abia state- aba north lga, ward 10,pu01,10, 020, 20, 21, 22, 23, 24,25,26,27- no @inecnigeria official as at 10:21am #…","2015-04-11 09:47:16",11
138,"rt @apcforchange: good morning. in about a week, we'll be heading to the polling units for #nigeriadecides. it's important we collect our p…","2015-02-06 07:09:24",8
139,"i believe tolu.""@toluogunlesi: presidential election in lekki 1, pu at avalon house: apc  266 pdp 132 #nigeriadecides""","2015-03-28 19:01:56",23
140,"#nigeriadecides: fayose praises buhari, urges nigerians to accept election result http://t.co/yvrqxvufin","2015-03-31 16:45:23",8
141,"united states is ""deeply disappointed"" by the decision to postpone #nigeria’s elections http://t.co/czrmgc3jb7 #nigeriadecides","2015-02-08 12:27:30",31
142,"rt @kathleenndongmo: the #nigeriadecides elections in many, many ways is an #african elections in a very specific context. nigeria wins, af…","2015-03-29 10:27:51",9
143,"rt @sampiranty: spoke to mother whose daughters were abducted in izge. she is rushing to maiduguri where rescued girls will be taken after …","2015-04-29 11:04:07",7
144,"rt @aminugamawa: #nigeriadecides senior citizens 100yrs+ voting in the election. they want a better #nigeria for us. change is here. http:/…","2015-03-29 06:05:13",140
145,"buhari wins presidential election in kaduna state (results) #nigeriadecides http://t.co/tfhzopbzbu","2015-03-30 20:47:39",79
146,"periscoping at election stations in #abuja #nigeria (h/t @bindi). follow @akwasisarpong http://t.co/tcndxs1oxf","2015-03-28 15:43:24",11
147,"rt @rosanwo: a free and fair election will help build democracy in #nigeria regardless of the party which wins.","2015-02-06 12:32:10",7
148,"follow @silverbirdtv for updates on the 2015 elections.
#nigeriadecides","2015-03-29 13:43:47",5
149,"rt @apcnigeria: ""@omojuwa: february 2015 has finally come #nigeria . i pray for a violence-free, free, fair and peaceful elections all arou…","2015-02-01 06:37:44",22
150,"stay calm &amp; make ur vote count on election day! #nigeriadecides #votenotfight http://t.co/rjv5vwettt @tunjilardner @omojuwa","2015-02-09 10:11:55",5
151,"rt @najeebwali: the biggest political miscalculation of this election season is @nuhuribadu decamping to the pdp.
#nigeriadecides #sitroom15","2015-03-30 06:04:50",10
152,"rt @p_dna: i just got accredited, was on queue for about an hour. the @inecnigeria card reader failed to capture my finger print. #nigeriad…","2015-03-28 08:34:35",6
153,"rt @palm_solutions: buhari won the election, gej conceded defeat without stress. today, i am proud to be a nigerian, #nigeriadecides #victo…","2015-03-31 18:11:52",22
154,"rt @allafrica: nigerian army attacks boko haram hideouts - video : http://t.co/uh7ek92f4t #nigeria #westafrica http://t.co/gkrfd1zfpv","2015-02-25 10:26:55",11
155,"live on arise news (dstv 416) force pro ag. cp emmanuel ojukwu giving update on #nigeriadecides #npfelectionsecurity http://t.co/4wjio6llco","2015-03-29 15:53:58",5
156,"rt @abangmercy: shame: most of the south-south and south-eastern states can't seem to conduct these elections without violence.. #nigeriade…","2015-04-11 14:15:51",50
157,"inec directs officials to go manual on accreditation where card readers disappoint. #nigeriadecides #sitroom15","2015-03-28 15:28:15",6
158,"#nigeriadecides: breaking news! inec announces elections result:  
 
following a relatively peaceful election ... http://t.co/loqjf4q0jt","2015-03-30 14:39:22",7
159,"rt @allafrica: #nigeria scores of boko haram suspects 'posing as herders' killed: http://t.co/tycw200z3s","2015-03-03 11:21:18",5
160,"rt @premiumtimesng: #nigeriadecides: apc wins obasanjo's polling unit: presidential: apc-100, pdp-16
http://t.co/iqujwaqblc","2015-03-28 21:01:58",83
161,"#nigeria: boko haram renames itself islamic state's west africa province (iswap) http://t.co/emf6my8mgj #africa #security #terrorism","2015-04-27 10:05:48",5
162,"rt @zahra_buhari: a creative man is motivated by the desire to achieve, not by the desire to cheat others. #gmb15 #march4buhari @thisisbuha…","2015-03-23 21:38:17",7
163,"rt @apcforchange: a decorated war hero, one who dealt decisively with insurgency, @thisisbuhari's candidacy is a no brainer. #nigeria #iwil…","2015-02-25 19:41:09",7
164,"rt @amdbaddestboss: #nigeriadecides @sleemboi: apc thumb printed ballot papers thrown to the dustbin by inec and pdp in akwa ibom – apc htt…","2015-03-29 23:19:16",22
165,"rt @ndiwomen: keeping #nigeria in our thoughts today, as nigerians head to the polls. we're hoping for a peaceful, fair election. #nigeriad…","2015-03-28 08:32:52",5
166,"rt @ogundamisi: .@inecnigeria bows to @pdpnigeria pressure ?  election postponed in #nigeria athairu  jega reported to have postponed elect…","2015-02-07 10:20:29",46
167,"here, i observed that the accreditation process is faster and with lesser errors."" #guber2015 #nigeriadecides #elections2015""","2015-04-11 09:31:20",7
168,"rt @toluogunlesi: knowing #nigeria, anyone could have leaked news of postponement to test the waters, or provoke backlash. these things hap…","2015-02-07 11:08:41",55
169,"to reaffirm their stance on #violencefree polls, buhari, jonathan sign another peace accord http://t.co/vn9heimdt1 #nigeria2015 #noviolence","2015-03-26 11:31:58",6
170,"the north never forgets
bama idp camp maiduguri:
presidential
apc: 108
pdp: 0...
#nigeriadecides","2015-03-28 19:00:57",27
171,"rt @situationroomng: presidential elections: how the two leading parties are faring(2). #nigeriadecides #nigeria2015 http://t.co/wi5yywyund","2015-03-30 22:47:25",135
172,"rt @yadomah: so the second half is over.

inec to reconvene at 10am tomorrow. 

#nigeriadecides 
#sitroom15","2015-03-30 22:19:48",11
173,"rt @kolokennethk: #sitrep #nigeriadecides rt @adetututoyin1: inec officials are here wit all the materials.okaka ward 2 ilorin south http:/…","2015-03-28 07:11:56",6
174,"rt @ajstream: what should #nigeria’s biggest priority be in the upcoming election? why? record a comment: http://t.co/z53cwi3enk","2015-02-05 05:10:55",9
175,"@nijatvhamburg police list electoral offfences on election day   http://t.co/t1slmxlxts #onenigeria,#nigeriadecides,#votewisely","2015-03-28 00:47:57",28
176,"rt @raquelecenarro: excelente noticia. destruido el cuartel general de boko haram. ¡ya era hora! #nigeria http://t.co/zjssjcsdkp http://t.c…","2015-03-28 07:50:12",38
177,"#kca #votejkt48id aisaratu: gunmen attacking and exchanging fire with security forces in alkaleri, bauchi state #nigeriadecides","2015-03-29 11:27:40",12
178,"rt @mss_yasmeenah: ""@kobokogcfr: gej be like: the figures from the north is too much oh, what has boko haram been killing #nigeriadecides""😭…","2015-03-31 13:25:36",6
179,"new broom for #nigeria. victory for #gmb after extraordinary election http://t.co/czmfwvhy9f #nigeriadecides http://t.co/w5m8opwwpc","2015-03-31 20:22:30",6
180,"rt @zahra_buhari: @apcnigeria a leader takes people where they would never go on their own. #whyivotebuhari #tellyourneighbour #march4buhar…","2015-03-25 22:14:24",5
181,"rt @doubleeph: jega now clarifying that results will be out 48hrs after elections have *ended*. important clarification #nigeriadecides","2015-03-29 16:58:10",8
182,"rt @wsj: nigerians await the results of a hotly-contested, messy presidential election: http://t.co/ygvl9ghw5u #nigeriadecides http://t.co/…","2015-03-30 19:08:54",67
183,"we are aware of the recent hack of our @inecnigeria website, we are currently investigating this incident #nigeriadecides","2015-03-28 10:56:47",7
184,"rt @reutersafrica: #nigeria drafts in foreign mercenaries to take on boko haram  http://t.co/apjr2fzaqf","2015-03-12 09:42:59",13
185,"rt @ecopoliticsng: #nigeriadecides- the nigerian civil society situation room has alerted the nation of plans to manipulate the elections.@…","2015-03-30 08:42:19",12
186,"#nigeriadecides: statement by the nigeria civil society situation room on commencement of 2015 national elections http://t.co/kplaofsxsa","2015-03-28 15:42:54",8
187,"rt @situationroomng: accreditation has been concluded in pus 22, 24, 25 &amp; 26, ward 3, oredo lga, edo state cc @inecnigeria #nigeriadecides …","2015-04-11 11:03:58",6
188,"#nigeria #news #africa: suspected boko haram gunmen kill 21 in yobe - suspected boko haram gunmen... http://t.co/55ykrtknjo #news, #nigeria","2015-04-27 18:32:15",5
189,"rt @aminugamawa: 2 weeks to election: inec warehouse burns for 3 hrs http://t.co/bh0n9pzlo8 

who is behind it &amp; why? #nigeriadecides http:…","2015-03-16 04:42:11",15
190,"rt @ottlek1: if apc and pdp draw in this election,abeg are they going to play penalty? #nigeriadecides","2015-03-29 22:18:28",5
